WS Name, Status, Data Date Time, Wind Speed, Wind Gust, Wind Direction, Air Temperature, Air Pressure, Relative Humidity, Track Temperature, Precipitation Intensity, Precipitation Quantity, Rainfall In Last Hour, Rainfall in Last 24 hours
DJH Hellifield 34.1457X,Normal,01-10-2021 14:45,10.43,23.48,W,11.4,987.8,74.4,13,0,0,0,5
DJH Hellifield 34.1457X,Normal,01-10-2021 14:50,12.68,23.48,SW,11,987.9,72.4,12.9,0,0,0,5
DJH Hellifield 34.1457X,Normal,01-10-2021 14:55,10.86,22.12,W,10.5,987.9,79.5,12.9,0,0,0,5
DJH Hellifield 34.1457X,Normal,01-10-2021 15:00,8.57,18.76,W,10.3,988,79,12.8,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:05,7.69,17.16,W,10.2,987.9,80.2,12.7,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:10,7.6,15.16,W,10.6,987.9,80.7,12.6,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:15,8.13,16.94,SW,11.2,987.9,78.8,12.5,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:20,7.13,16.94,W,11.4,988,78.5,12.5,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:25,6.39,18.92,W,11.1,988.1,80.3,12.5,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:30,7.07,16.01,W,11.5,988,78.8,12.5,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:35,9.03,16.83,SW,11.8,988,74.6,12.5,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:40,10.71,19.78,SW,11.7,987.9,73,12.5,0,0,0,4.8
DJH Hellifield 34.1457X,Normal,01-10-2021 15:45,11.19,19.78,SW,11.7,988,73.2,12.6,0,0,0,4.6
DJH Hellifield 34.1457X,Normal,01-10-2021 15:50,11.17,17.35,SW,11.3,988,73.7,12.5,0,0,0,4.6
DJH Hellifield 34.1457X,Normal,01-10-2021 15:55,11.3,22.47,SW,11,988,74.2,12.5,0,0,0,4.6
