WS Name, Status, Data Date Time, Wind Speed, Wind Gust, Wind Direction, Air Temperature, Air Pressure, Relative Humidity, Track Temperature, Precipitation Intensity, Precipitation Quantity, Rainfall In Last Hour, Rainfall in Last 24 hours
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:00,16.29,33.76,SW,13,972,89.5,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:05,16.6,35.25,SW,13.1,971.8,89.1,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:10,19.74,32.94,SW,13.1,971.6,89.4,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:15,18.96,34.53,SW,13.1,971.4,89.2,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:20,16.45,29.59,SW,13,971.4,89.5,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:25,18.29,28.83,SW,13.1,971.3,88.7,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:30,20.31,35.31,SW,13.1,971.3,89.2,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:35,18.51,32.2,SW,13,971.2,89.6,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:40,18.51,34.58,SW,12.9,971.4,90.8,18.5,0,0,0,18.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:45,19.49,33.83,SW,12.8,971.1,91.6,18.5,0.2,0.2,0.2,18.4
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:50,18.64,35.13,SW,12.7,971.1,91.5,18.5,0.4,0.2,0.4,18.6
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 00:55,20.3,37.28,SW,12.8,971,91,18.5,0.4,0,0.4,18.6
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:00,18.13,33.17,SW,12.8,970.9,91.1,18.5,0.4,0,0.4,18.6
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:05,16.48,32.79,SW,12.7,971,91.2,18.5,0.4,0,0.4,18.6
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:10,16.44,27.87,SW,12.8,971.1,91,18.5,0.6,0.2,0.6,18.8
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:15,17.09,31.35,SW,12.7,971.1,91.2,18.5,0.6,0,0.6,18.8
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:20,16.44,29.21,SW,12.8,970.9,90.3,18.5,0.6,0,0.6,18.8
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:25,16.29,26.06,SW,12.7,971,91,18.5,0.8,0.2,0.8,19
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:30,16.67,28.95,SW,12.7,970.8,91.5,18.5,1,0.2,1,19.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:35,17.64,29.08,SW,12.7,970.6,91.3,18.5,1,0,1,19.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:40,15.43,24.72,SW,12.7,970.5,90.2,18.5,0.8,0,1,19.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:45,15.53,26.39,SW,12.6,970.4,91.1,18.5,0.8,0,0.8,19.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:50,14.2,25.3,SW,12.7,970.3,90.9,18.5,0.8,0.2,0.8,19.4
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 01:55,15.37,26.78,SW,12.7,970.4,90.4,18.5,0.8,0,0.8,19.4
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 02:00,15.92,25.49,SW,12.7,970.4,90.4,18.5,0.8,0,0.8,19.4
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 02:05,15.58,24.53,SW,12.7,970.4,90.3,18.5,1,0.2,1,19.6
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 02:10,14.36,22.38,SW,12.5,970.4,91.3,18.5,1.4,0.6,1.4,20.2
CGJ7 Shap Summit 37.1341X,Normal,01/10/2021 02:15,13.06,22.19,SW,12.3,970.3,92.6,18.5,2,0.6,2,20.8
