WS Name, Status, Data Date Time, Wind Speed, Wind Gust, Wind Direction, Air Temperature, Air Pressure, Relative Humidity, Track Temperature, Precipitation Intensity, Precipitation Quantity, Rainfall In Last Hour, Rainfall in Last 24 hours
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:01,4.03,11.06,S,13.1,1001.5,96.8,13.1,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:06,4.08,10.1,S,13.1,1001.4,96.6,13.1,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:11,4.74,12.41,S,13.2,1001.4,96.3,13.1,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:16,4.02,12.41,S,13.2,1001.3,95.9,13.1,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:21,3.23,10.35,S,13.2,1001.3,95.9,13,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:26,3.04,11.04,S,13.2,1001.2,95.9,13,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:31,3.39,11.52,S,13.2,1001.1,95.9,13,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:36,3.62,11.52,S,13.2,1001,95.7,13,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:41,3.82,10.48,S,13.3,1000.9,95.3,13,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:46,4.64,10.48,S,13.3,1000.8,94.7,13,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:51,4.49,11.79,S,13.4,1000.7,94.3,13.1,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 00:56,3.84,11.79,S,13.4,1000.7,94.4,13.1,0,0,0,8.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:01,3.79,10.46,S,13.4,1000.7,94.6,13.1,0.2,0.2,0.2,8.6
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:06,4.59,12.05,S,13.4,1000.6,94.8,13.1,0.6,0.4,0.6,9
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:11,4.62,12.05,S,13.4,1000.5,95,13.1,0.6,0,0.6,9
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:16,4.85,11.58,S,13.4,1000.5,95.3,13.1,0.8,0.2,0.8,9.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:21,5.03,11.03,S,13.4,1000.5,95.5,13.1,0.8,0,0.8,9.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:26,4.5,11.03,S,13.3,1000.5,95.8,13.1,1,0.2,1,9.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:31,4.38,10.07,S,13.3,1000.4,96.1,13.1,1.2,0.2,1.2,9.6
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:36,4.76,10.07,S,13.2,1000.4,96.3,13.1,1.6,0.4,1.6,10
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:41,4.78,9.97,S,13.2,1000.3,96.4,13.1,1.8,0.2,1.8,10.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:46,5.35,10.98,S,13.2,1000.3,96.5,13.1,1.8,0,1.8,10.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:51,5.9,11.78,S,13.2,1000.3,96.4,13.1,2.2,0.4,2.2,10.6
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 01:56,5.88,11.78,S,13.2,1000.3,96.4,13.1,2.2,0,2.2,10.6
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:01,4.95,11.08,S,13.1,1000.2,96.6,13.1,2.2,0.2,2.2,10.8
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:06,4.48,11.08,S,13.1,1000.1,96.9,13.1,1.8,0,1.8,10.8
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:11,4.47,10.38,S,13,1000.1,97,13.1,2,0.2,2,11
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:16,4.29,10.1,S,13,999.9,97.2,13.1,1.8,0,1.8,11
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:21,4.52,9.68,S,13,999.9,97.3,13.1,2,0.2,2,11.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:26,4.45,9.68,S,12.9,999.8,97.3,13.1,1.8,0,1.8,11.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:31,4.18,9.94,S,12.9,999.8,97.4,13,1.8,0.2,1.8,11.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:36,4.42,9.94,S,12.9,999.7,97.6,13,1.6,0.2,1.6,11.6
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:41,4.5,9.66,S,12.9,999.6,97.7,13,1.4,0,1.4,11.6
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:46,4.21,10.89,S,12.8,999.5,97.9,12.9,1.6,0.2,1.6,11.8
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:51,4.3,10.89,S,12.8,999.4,98,12.9,1.4,0.2,1.4,12
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 02:56,4.16,13.21,S,12.7,999.3,98.2,12.9,1.6,0.2,1.6,12.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:01,4.89,13.21,S,12.6,999.2,98.4,12.9,1.4,0,1.4,12.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:06,5.61,13.27,S,12.6,999.1,98.3,12.9,1.4,0,1.4,12.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:11,5.98,13.09,S,12.6,999,98,12.9,1.4,0.2,1.4,12.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:16,6.22,14.27,S,12.6,999,97.8,12.9,1.4,0,1.4,12.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:21,5.82,14.27,S,12.6,998.9,97.7,12.9,1.2,0,1.2,12.2
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:26,5.73,12.95,S,12.5,998.8,97.6,12.9,1.4,0.2,1.4,12.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:31,6.31,13.35,S,12.4,998.8,97.3,12.8,1.2,0,1.2,12.4
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:36,6.4,11.87,S,12.4,998.9,97.1,12.7,1.4,0.4,1.4,12.8
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:41,6.31,14.09,S,12.3,998.9,96.9,12.7,1.6,0.2,1.6,13
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:46,6.39,14.09,S,12.2,998.9,96.9,12.7,1.4,0,1.4,13
CGJ6 Barton Broughton 4.0985X,Normal,01/10/2021 03:51,6.28,12.18,S,12.1,998.8,96.9,12.7,1.4,0.2,1.4,13.2
