WS Name, Status, Data Date Time, Wind Speed, Wind Gust, Wind Direction, Air Temperature, Air Pressure, Relative Humidity, Track Temperature, Precipitation Intensity, Precipitation Quantity, Rainfall In Last Hour, Rainfall in Last 24 hours
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:00,3.42,9.21,S,13.9,985.3,84.1,12.9,0,0,0,3.4
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:05,3.12,10.7,S,14,985.2,83.5,13,0,0,0,3.4
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:10,3.04,6.21,S,14,985.1,83.8,13,0,0,0,3.4
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:15,2.78,7.06,S,14,985,84.2,13.1,0,0,0,3.4
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:20,2.88,6.56,S,14,984.9,83.7,13.1,0,0,0,3.4
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:25,3.07,10.13,S,13.9,984.8,84.3,13.1,0.2,0.2,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:30,4.14,8.6,SW,13.9,984.8,84.5,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:35,2.49,7.17,SW,13.8,984.7,85.7,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:40,3.94,8.09,SW,13.8,984.7,86.4,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:45,3.05,9.44,SW,13.7,984.6,87.2,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:50,4.04,6.76,SW,13.7,984.6,87.6,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 00:55,4.28,8.4,SW,13.7,984.5,86.9,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:00,4.95,11.62,SW,13.7,984.4,85.6,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:05,4.54,9.7,SW,13.7,984.3,84.5,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:10,3.42,7.72,SW,13.7,984.4,84.7,13.1,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:15,2.49,8.06,SW,13.7,984.5,84.1,13.2,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:20,2.92,9.52,S,13.7,984.5,83.7,13.2,0.2,0,0.2,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:25,5.4,10.89,SW,13.8,984.4,81.7,13.2,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:30,4.9,12.47,SW,13.7,984.2,82.3,13.2,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:35,4.26,9.58,SW,13.6,984.1,82.8,13.2,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:40,5.09,11.22,SW,13.6,983.9,83.5,13.2,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:45,2.59,5.51,SW,13.5,983.8,84.3,13.2,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:50,1.94,4.43,S,13.4,983.9,84.9,13.2,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 01:55,1.1,3.94,S,13.3,983.8,85,13.2,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:00,1.28,4.42,S,13.3,983.8,85.1,13.1,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:05,1.45,6.82,SW,13.2,983.7,85.3,13.1,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:10,1.5,4.18,SW,13.2,983.7,85.2,13.1,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:15,2.03,5.25,SW,13.2,983.5,85.3,13.1,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:20,2.26,7.37,SW,13.2,983.5,85,13.1,0,0,0,3.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:25,3.43,6.52,SW,13.3,983.5,84.9,13,0.2,0.2,0.2,3.8
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:30,2.91,6.6,SW,13.2,983.4,86.3,13,0.6,0.4,0.6,4.2
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:35,2.95,7.93,SW,13,983.5,88.3,13,0.8,0.2,0.8,4.4
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:40,5.14,11.26,SW,12.8,983.3,89.6,13,1.2,0.4,1.2,4.8
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:45,3.19,9.41,SW,12.6,983.2,91,12.9,1.2,0,1.2,4.8
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:50,3.02,6.68,SW,12.5,983.2,91.8,12.9,1.4,0.2,1.4,5
CGJ7 Penrith 51.0660X,Normal,01/10/2021 02:55,3.57,9.04,SW,12.3,983.1,92.4,12.9,2,0.6,2,5.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:00,2.51,4.87,SW,12.2,983,93.3,12.8,2.2,0.2,2.2,5.8
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:05,2.61,5.25,SW,12,983,93.7,12.8,2.4,0.2,2.4,6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:10,1.7,5.93,SW,11.9,982.9,94,12.8,2.6,0.2,2.6,6.2
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:15,2.65,5.46,SW,11.9,982.9,94,12.8,3,0.4,3,6.6
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:20,4.6,9.57,SW,11.9,982.8,93.4,12.8,3.2,0.2,3.2,6.8
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:25,4.32,6.84,SW,11.8,982.7,93.1,12.5,3.2,0.2,3.2,7
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:30,3.71,7.82,SW,11.8,982.6,92.5,12.5,2.8,0,2.8,7
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:35,2.88,7.23,SW,11.8,982.6,92,12.5,2.8,0.2,2.8,7.2
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:40,2.92,7.64,SW,11.7,982.4,92,12.5,2.6,0.2,2.6,7.4
CGJ7 Penrith 51.0660X,Normal,01/10/2021 03:45,2.64,6.88,SW,11.7,982.3,92.5,12.5,2.6,0,2.6,7.4
