WS Name, Status, Data Date Time, Wind Speed, Wind Gust, Wind Direction, Air Temperature, Air Pressure, Relative Humidity, Track Temperature, Precipitation Intensity, Precipitation Quantity, Rainfall In Last Hour, Rainfall in Last 24 hours
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:03,5.64,13.1,S,15.1,999,79.4,12.9,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:08,6.55,12.58,S,15.1,999,79.2,12.9,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:13,7.33,18.06,S,15.1,998.9,79.4,12.9,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:18,6.65,16.22,S,15.1,998.8,79.6,13,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:23,6.27,13.86,S,15,998.7,80.2,13,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:28,6.74,12.73,S,14.9,998.6,80.7,13,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:33,7.41,15.34,S,14.9,998.6,81.2,13,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:38,7.02,15.28,S,14.9,998.6,81.7,13,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:43,7.3,12.18,S,15,998.6,81.6,13.1,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:48,7.65,16.21,S,15,998.6,81.2,13.1,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:53,9.34,17.81,S,15.1,998.5,80.7,13.1,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 00:58,7.76,14.77,S,15.1,998.4,80.4,13.1,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:03,7.87,16.17,S,15.1,998.4,80.5,13.2,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:08,7.45,13.31,S,15,998.4,80.7,13.2,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:13,7.14,12.73,S,15,998.5,80.8,13.2,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:18,6.39,12.28,S,15,998.5,80.7,13.1,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:23,5.02,10.8,S,14.9,998.4,81,13.2,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:28,4.03,7.43,S,14.9,998.3,81.4,13.2,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:33,6.21,17.66,S,14.8,998.2,81.8,13.2,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:38,6.22,14.75,S,14.6,998.1,83.7,13.2,0,0,0,2.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:43,5.76,11.69,S,14.5,998,84.4,13.2,0.2,0.2,0.2,3
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:48,5.64,18.98,S,14.4,998.1,86.4,13.2,0.4,0.2,0.4,3.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:53,3.99,10.77,SW,14.2,998,88.6,13.2,0.4,0,0.4,3.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 01:58,3.2,8.15,S,14.1,997.9,89.9,13.1,0.4,0,0.4,3.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:03,6.15,13.02,S,13.9,997.9,89,13.1,0.4,0,0.4,3.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:08,6.27,17.09,S,13.9,997.9,85.7,13,0.6,0.2,0.6,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:13,6.7,14.24,S,13.9,997.8,85.4,12.9,0.6,0,0.6,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:18,4.65,11.55,S,13.9,997.6,85.7,12.9,0.6,0,0.6,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:23,3.65,11.93,SW,13.8,997.5,86.5,12.8,0.6,0,0.6,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:28,4.31,7.07,S,13.8,997.6,86.8,12.7,0.6,0,0.6,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:33,3.43,8.2,S,13.8,997.4,87.4,12.7,0.6,0,0.6,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:38,4.34,9.18,S,13.8,997.3,87.5,12.7,0.6,0,0.6,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:43,3.67,8.6,S,13.8,997.3,87.3,12.7,0.4,0,0.4,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:48,4.18,9.83,S,13.8,997.1,87.3,12.7,0.2,0,0.2,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:53,4.41,8.93,S,13.8,997.1,87.5,12.6,0.2,0,0.2,3.4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 02:58,3.54,7.16,S,13.7,997.1,88.5,12.7,0.4,0.2,0.4,3.6
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:03,4.41,7.82,S,13.6,996.8,89.5,12.6,0.6,0.2,0.6,3.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:08,4.68,8.59,S,13.5,996.8,89.9,12.6,0.4,0,0.4,3.8
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:13,4,8.18,S,13.4,996.9,90.8,12.6,0.6,0.2,0.6,4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:18,4.64,9.58,S,13.2,996.8,91.5,12.5,0.8,0.2,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:23,6.13,11.93,S,13,996.6,89.6,12.5,0.8,0,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:28,4.64,10.62,SW,13.1,996.6,87.5,12.5,0.8,0,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:33,3.6,9.15,S,13.3,996.5,86.6,12.5,0.8,0,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:38,3.29,8.12,S,13.2,996.4,87.7,12.4,0.8,0,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:43,3.12,6.11,S,13.1,996.2,88.3,12.4,0.8,0,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:48,4.09,7.24,S,13,996.1,89.4,12.4,0.8,0,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:53,3.66,7.39,S,13,996.1,90.1,12.4,0.8,0,0.8,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 03:58,4.24,7.79,S,12.9,996,89.9,12.4,0.6,0,0.6,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 04:03,4.84,8.86,S,12.9,996,89.3,12.3,0.4,0,0.4,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 04:08,6.28,9.88,SE,12.9,996,88.5,12.3,0.4,0,0.4,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 04:13,5.42,10.61,S,12.7,995.9,88.2,12.2,0.2,0,0.2,4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 04:18,4.58,9.66,S,13,995.9,86.7,12.2,0,0,0,4
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 04:23,4.75,9.42,S,13.2,995.9,86.4,12.2,0.2,0.2,0.2,4.2
ULR Carlisle Upperby 0.0309X,Normal,01/10/2021 04:28,4.82,8.78,S,13.1,995.9,87.1,12.2,0.2,0,0.2,4.2
