WS Name, Status, Data Date Time, Wind Speed, Wind Gust, Wind Direction, Air Temperature, Air Pressure, Relative Humidity, Track Temperature, Precipitation Intensity, Precipitation Quantity, Rainfall In Last Hour, Rainfall in Last 24 hours
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:00,4.13,14.25,S,14,997.3,94.2,13.3,1.4,0,1.4,9.6
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:05,4.24,15.4,S,14,997.2,93.9,13.3,1.6,0.2,1.6,9.8
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:10,2.46,10.68,S,13.9,997.1,94.5,13.3,2.2,0.6,2.2,10.4
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:15,4.36,15.17,S,13.9,997,94.7,13.3,2.4,0.2,2.4,10.6
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:20,3.13,12.63,S,13.9,997,94.8,13.3,2.6,0.2,2.6,10.8
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:25,4.9,15.91,S,13.9,996.8,95.2,13.3,2.6,0.2,2.6,11
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:30,4.24,15.38,S,13.8,996.7,94.9,13.3,2.6,0,2.6,11
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:35,3.66,12.41,S,13.7,996.7,94.6,13.3,2.6,0,2.6,11
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:40,4.15,14.08,S,13.7,996.7,94.5,13.2,1.4,0,2,11
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:46,2.33,11.79,S,13.7,996.6,94.3,13.2,1.4,0,1.4,11
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:50,3.58,11.55,S,13.7,996.6,93.7,13.2,1.4,0,1.4,11
WCM1 Quintshill  10.0434X,Normal,01/10/2021 00:55,2.32,10.79,SW,13.8,996.5,93,13.2,1.4,0,1.4,11
WCM1 Quintshill  10.0434X,Normal,01/10/2021 01:00,2.29,9.65,SW,13.8,996.5,93,13.2,1.4,0,1.4,11
